inventory code,Title,Maker,date,chart estimate type,chart standarized date,Production Place,Country (current),Continent,historic period/ polity,historical age,category,link
LAD 2020.092,"Fine Wind, Clear Morning, from the series Thirty-Six Views of Mount Fuji",Katsushika Hokusai (1760-1849),ca. 1830-1832,year range,1831,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2015.027,"Ushibori in Hitachi Province, from the series Thirty-Six Views of Mount Fuji",Katsushika Hokusai (1760-1849),1830-1834,year range,1832,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2015.028,"View of the Mitsui Shop in Surugachô, from the series Thirty-Six Views of Mount Fuji",Katsushika Hokusai (1760-1849),1830-1834,year range,1832,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2015.029,"Yôrô Waterfall in Mino Province, from the series Waterfalls in Various Provinces",Katsushika Hokusai (1760-1849),1830-1834,year range,1832,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2015.030,"Yoshida on the Tôkaidô Road, from the series Thirty-Six Views of Mount Fuji",Katsushika Hokusai (1760-1849),1830-1834,year range,1832,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2015.031,"Mount Fuji Seen from Senjyu in Musashi Province, from the series Thirty-Six Views of Mount Fuji",Katsushika Hokusai (1760-1849),1830-1834,year range,1832,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2015.032,"Sazai Hall at the Temple of the Five Hundred Rakans, from the series Thirty-Six Views of Mount Fuji",Katsushika Hokusai (1760-1849),1830-1834,year range,1832,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2015.033,"Mount Fuji Seen from the Hills of Lower Meguro, from the series Thirty-Six Views of Mount Fuji",Katsushika Hokusai (1760-1849),1830-1834,year range,1832,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2015.034,"Ancient View of Yatsuhashi Bridge in Mikawa Province, from the series Remarkable Views of Bridges in Various Provinces",Katsushika Hokusai (1760-1849),1830-1834,year range,1832,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2020.080,"Viewing the Sunset over Ryōgoku Bridge from the Onmaya Embankment, from the series Thirty-Six Views of Mount Fuji",Katsushika Hokusai (1760-1849),ca. 1832,specific year,1832,Japan,Japan,Asia,,modern & contemporary,print,
