inventory code,Title,Maker,date,chart estimate type,chart standarized date,Production Place,Country (current),Continent,historic period/ polity,historical age,category,link
LAD 2014.003,Funerary Servant for Pharaoh Seti I,anonymous,ca. 1290 BCE,year range,-1290,"Valley of the Kings, ",Egypt,Africa,,ancient worlds,,
LAD 2022.005,"Ritual Vase, Called Gu",anonymous,1300-1200 BCE,year range,-1250,China,China,Asia,,ancient worlds,furniture,
LAD 2022.006,"Tripod Ritual Vase, Called Liding",anonymous, 1200-1100 BCE,year range,-1150,China,China,Asia,,ancient worlds,furniture,
LAD 2013.001,Axe Blade,anonymous,ca. 1000 BCE-700 BCE,year range,-850,Lorestan ,Iran,Asia,,ancient worlds,,
LAD 2019.037.001,Stater with Lion and Bull,anonymous,560-546 BCE,year range,-550,Sardis ,Turkey,Asia,,ancient worlds,numismatic,
LAD 2013.004,Sphinx,anonymous,600 BCE-500 BCE,year range,-550,Greece or Italy,Greece,Europe,,ancient worlds,furniture,
LAD 2013.002,Corinthian Helmet,anonymous,ca. 550 BCE,specific year,-550,Greece,Greece,Europe,,ancient worlds,,
LAD 2009.007,Amphora showing Herakles battling the Nemean Lion,Antimenes (painter-potter in Athens),ca. 520 BCE,,-520,Greece,Greece,Europe,,ancient worlds,ceramic,https://collection.louvreabudhabi.ae/en/object/amphora-showing-herakles-battling-the-nemean-lion-100004771
LAD 2019.037.011,Stater with a Boar,anonymous,500-450 BCE,year range,-475,Cyzicus,Turkey,Asia,,ancient worlds,numismatic,
LAD 2019.037.012,Stater with the god Hermes Kneeling,anonymous,460-400 BCE,year range,-430,Cyzicus,Turkey,,,ancient worlds,numismatic,
LAD 2019.037.006,"Stater with Tanit, goddess of Carthage",anonymous,350 BCE-320 BCE,year range,-330,Carthage ,Tunisia,Africa,Phoenician culture,ancient worlds,numismatic,
LAD 2019.037.002,"Stater of Philip II, King of Macedon",anonymous,323 BCE-315 BCE,year range,-320,Amphipolis ,Greece,Europe,,ancient worlds,numismatic,
LAD 2019.037.014,Tetradrachm with the Nymph Arethusa,,310-305 BCE,year range,-308,"Syracuse, Sicily, ",Italy,Europe,,ancient worlds,numismatic,
LAD 2019.037.007,Stater with king Ptolemy I Soter,anonymous,300-295 BCE,year range,-297,Alexandria ,Egypt,Africa,Ptolemy dinasty,ancient worlds,numismatic,
LAD 2019.037.015,"Aes Signatum, Currency-Bar with Two Roosters",anonymous,280-260 BCE,year range,-270,"Rome, Italy",Italy,Europe,,ancient worlds,metallic,
LAD 2019.037.005,"Trihemistater with Tanit, goddess of Carthage",anonymous,260 BCE,year range,-260,Carthage ,Tunisia,Africa,Phoenician culture,ancient worlds,numismatic,
LAD 2019.037.003,Celtic Coin Inspired by Coins of Philip II of Macedon,,300 BCE-200 BCE,year range,-250,Switzerland,Switzerland,Europe,,ancient worlds,numismatic,
LAD 2019.037.010,Stater of king Diodotus I (?),anonymous,250-235 BCE,year range,-240,"Balkh, Bactria",Afghanistan,Asia,,ancient worlds,numismatic,
LAD 2019.037.008,Octodrachm of King Ptolemy IV,anonymous,221 BCE-205 BCE,year range,-221,Alexandria ,Egypt,Africa,Ptolemy dinasty,ancient worlds,numismatic,
LAD 2009.021,"Reliquary in the Form of a Stupa, and its Contents",anonymous,ca. 20 CE-30 CE,year range,25,"Gandhara, Swat Valley (?)",Pakistan,Asia,Kushan empire,ancient worlds,metallic,https://lad-api.fluxguide.dev/uploads/medium/100318733__031da672-658f-4bf0-8183-a71341699f8b.jpg
LAD 2019.038.001,Half Coin Mold,anonymous,25-57 CE,year range,35,China,China,Asia,,ancient worlds,numismatic,
LAD 2019.037.017,"Cistophore of Claudius, Roman Emperor",anonymous,41-42 CE,year range,41,Ephesus,Turkey,Asia,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.018,"Aureus of Domitian, Roman Emperor",anonymous,82-83 CE,year range,82,"Rome, Italy",Italy,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2020.105,"Julia Flavia Titi, Imperial Princess (64–91 CE)",anonymous,80-91 CE,year range,85,Roman Empire,Italy,Europe,Roman Empire,ancient worlds,sculpture,
LAD 2012.002,Vase with Applied Floral Decoration,anonymous,ca. 100 CE,year range,100,Egypt,Egypt,Africa,,ancient worlds,furniture,
LAD 2011.026,"Statue of a Man Dressed in a Toga, Called “The Orator”",anonymous,ca. 100 CE-150 CE,year range,125,Italy,Italy,Europe,Roman Empire,ancient worlds,sculpture,
LAD 2019.037.020,"Aureus of Lucius Verus, Roman Emperor",anonymous,163-164 CE,year range,163,"Rome, Italy",Italy,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.021,"Aureus of Lucilla, Roman Empress",anonymous,164-169 CE,year range,166,"Rome, Italy",Italy,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.019,"Aureus of Marcus Aurelius, Roman Emperor",anonymous,168 CE,specific year,168,"Rome, Italy",Italy,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.022,"Aureus of Pertinax, Roman Emperor",anonymous,193 CE,specific year,193,"Rome, Italy",Italy,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.024,"Aureus of Septimus Severus, Roman Emperor",anonymous,196 CE,specific year,196,"Rome, Italy",Italy,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2015.008,Buddha Head,,ca. 100 CE-300 CE,year range,200,"Gandhara, Pakistan",Pakistan,Asia,,ancient worlds,sculpture,
LAD 2009.009,Bodhisattva,anonymous,ca. 100-300 CE,year range,200,"Gandhara, ",Pakistan,Asia,,ancient worlds,sculpture,https://collection.louvreabudhabi.ae/en/object/bodhisattva-100004781
LAD 2009.020,Imperial Roman Portrait,anonymous,ca. 200 CE,specific year,200,Rome ,Italy,Europe,,ancient worlds,sculpture,https://collection.louvreabudhabi.ae/en/object/imperial-roman-portrait-100004813
LAD 2019.037.025,"Aureus of Caracalla, Roman Emperor",anonymous,202 CE,specific year,202,"Rome, Italy",Italy,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.023,"Aureus of Septimus Severus and Caracalla, Roman Emperors",anonymous,204 CE,specific year,204,"Rome, Italy",Italy,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.026,"Aureus of Caracalla, Roman Emperor",anonymous,216 CE,specific year,216,"Rome, Italy",Italy,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.027,"Tetradrachm of Macrinus, Roman Emperor",anonymous,217 CE-218 CE,year range,217,Antioch ,Turkey,Asia,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.028,"Aureus of Macrinus, Roman Emperor",anonymous,217-218 CE,year range,217,"Rome, Italy",Italy,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.029,"Aureus of Severus Alexander, Roman emperor",anonymous,228 CE,specific year,228,"Rome, Italy",Italy,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.030,"Sesterce of Gordian III, Roman Emperor",anonymous,240 CE,specific year,240,"Rome, Italy",Italy,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.031,"Sestertius of Philip I (The Arab), Roman Emperor",anonymous,244 CE,specific year,244,"Rome, Italy",Italy,Europe,Roman Empire,ancient worlds,ceramic,
LAD 2019.037.032,"Tetradrachm of Uranius Antoninus, Usurper",anonymous,253-254 CE,year range,253,Emesa ,Syria,Asia,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.033,"Aureus of Magnia Urbica, Roman Empress",anonymous,284 CE,specific year,284,"Siscia, ",Croatia,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2019.037.034,"Aureus of Maximilus Herculus, Roman Emperor",anonymous,297 CE,specific year,297,Trier ,Germany,Europe,Roman Empire,ancient worlds,numismatic,
LAD 2019.040.001.0001,Drachm Shapur (Sabuhr) II,, (r. 309-379),year range,335,Iran,Iran,Asia,Parthian Empire,ancient worlds,numismatic,
LAD 2019.037.035,"Solidus of Constantius Gallus, Roman Emperor",anonymous,354 CE,specific year,354,Nicomedia ,Turkey,Asia,Byzantine Empire (330-1453),ancient worlds,numismatic,
LAD 2019.037.036,"Solidus of Julian II the Apostate, Roman emperor",,361-363 CE,year range,362,Antioch ,Turkey,Asia,Byzantine Empire (330-1453),ancient worlds,numismatic,
LAD 2019.037.037,"Solidus of Aelia Pulcheria, Byzantine Empress",anonymous,423-429,year range,426,"Constantinople (modern day Istanbul, Turkey)",Turkey,Asia,Byzantine Empire (330-1453),ancient worlds,numismatic,
LAD 2009.008,Eagle-shaped Fibula from Domagnano,anonymous,450-500 CE,year range,475,"Domagnano, San Marino ",Italy,Europe,,middle ages,jewellery,
LAD 2014.005,Jar Decorated with Hunting Scenes,anonymous,ca. 400-600,,500,Central Asia or Tibet,,Asia,,middle ages,,
LAD 2020.103,A Large Standing Figure of Buddha,anonymous,550-577,year range,560,China,China,Asia,Northern Qi Dynasty (550-577),middle ages,sculpture,
LAD 2017.003,Palimpsest Quran Leaf in Hijazi Script,anonymous,7th century,year range,600,Arabian Peninsula,Saudi Arabia ,Asia,,middle ages,books,
LAD 2019.022,Lotus Shaped Stem Cup,anonymous, around 600-700,year range,650,China,China,Asia,"Tang Dynasty (618-907),",middle ages,furniture,
LAD 2019.039.001,Solidus of the Reign of Constans II,anonymous,661-663,year range,662,"Constantinople (modern day Istanbul, Turkey)",Turkey,Asia,Byzantine Empire (330-1453),ancient worlds,numismatic,
LAD 2019.039.001,Solidus of the Reign of Constans II,,661-663,year range,662,"Constantinople (modern day Istanbul, Turkey)",Turkey,Asia,Byzantine Empire (330-1453),middle ages,numismatic,
LAD 2019.039.007,Dirham of the Reign of ʻUbayd Allāh ibn Ziyād,anonymous,680-681,year range,680,Basra ,Iraq,Asia,Umayyad Dynasty (661-750),ancient worlds,numismatic,
LAD 2019.041.001,Dinar of the Reign of Abd al-Malik bin Marwan,,705,specific year,705,Damascus,Syria,Asia,Umayyad Dynasty (661-750),middle ages,numismatic,
LAD 2019.041.002,Dinar of the Reign of Yazid II,,720 721,year range,720,"Ifriqiya, ",Tunisia,Africa,Umayyad Dynasty (661-750),middle ages,numismatic,
LAD 2019.039.004,Solidus of the Reign of Leo III and Constantine V,anonymous,725-732,year range,725,"Constantinople (modern day Istanbul, Turkey)",Turkey,Asia,Byzantine Empire (330-1453),ancient worlds,numismatic,
LAD 2009.022,Octagonal Box,anonymous,ca. 700-800,year range,750,China,China,Asia,"Tang Dynasty (618-907), ",middle ages,furniture,
LAD 2019.038.005,Circular Coin of the Reign of Suzong,anonymous,758-760,year range,758,China,China,Asia,"Tang Dynasty (618-907), ",middle ages,numismatic,
LAD 2019.038.005,Circular Coin of the Reign of Suzong,anonymous,758-760,year range,759,China,China,Asia,"Tang Dynasty (618-907), ",ancient worlds,numismatic,
LAD 2019.041.003,Dinar of the Reign of Harun al-Rashid,anonymous,786-787,year range,786,Cairo,Egypt,Africa,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2019.041.004,Dinar of the Reign of Harun al-Rashid,anonymous,797 798,year range,797,Baghdad ,Iraq,Asia,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2014.026,Page of a Quran in Kufic Script,anonymous,end of 9th century,year range,800,Levant or North Africa,na,Africa,,middle ages,books,
LAD 2014.025,Double Page of the Quran Calligraphed in Kufic Script: Surat al-Qalam,anonymous,end of 9th century,year range,800,Near East or North Africa,various,Africa,,middle ages,books,
LAD 2011.027,Bowl with Cover Decorated with Plant Motifs,anonymous,ca. 800,specific year,800,China,China,Asia,"Tang Dynasty (618-907), ",middle ages,furniture,
LAD 2019.039.005,Solidus of the Reign of Nikephoros and Staurakios,anonymous,803-811,year range,806,"Constantinople (modern day Istanbul, Turkey)",Turkey,Asia,Byzantine Empire (330-1453),ancient worlds,numismatic,
LAD 2019.041.005,Dinar of the Reign of al-Maʼmun,,827 828,year range,827,Sanaa,Yemen,Asia,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2019.041.006,Dinar of the Reign of Al-Maʼmun,anonymous,829-830,year range,829,Cairo,Egypt,Africa,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2019.019,Stem Cup with Ring Handle,anonymous, around 800-900,year range,850,China,China,Asia,"Tang Dynasty (618-907),",middle ages,furniture,
LAD 2015.009,Bowl with Inscription in Kufic Style,anonymous,"ca. 800 900, ",year range,850,Iraq,Iraq,Asia,Abbasid Dynasty (750-1258) CE,middle ages,,
LAD 2019.041.007,Dinar of the Reign of Al-Musta'in,anonymous,862,specific year,862,Cairo,Egypt,Africa,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2019.041.008,Dinar of the Reign of Al-Mu'tazz,,867,specific year,867,Tashkent,Uzbekistan,Asia,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2019.039.006,Solidus of the Reign of Basil and Constantine VII,anonymous,868-879,year range,872,"Constantinople (modern day Istanbul, Turkey)",Turkey,Asia,Byzantine Empire (330-1453),ancient worlds,numismatic,
LAD 2019.041.009,Dinar of the Reign of Al-Mu'tamid,anonymous,884-885,year range,884,Samarra ,Iraq,Asia,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2019.041.011,Dinar of the Reign of Khumarawayh ibn Ahmad ibn Tulun,anonymous,892-893,year range,892,Cairo,Egypt,Africa,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2019.041.010,Dinar of the Reign of Al-Mu'tadid,anonymous,893-894,year range,893,Baghdad ,Iraq,Asia,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2014.006,Page of the Blue Qur'an,anonymous,ca. 900,,900,North Africa,-,Africa,,middle ages,books,
LAD 2014.006,Page of the Blue Qur'an,anonymous,ca. 900,,900,North Africa,-,Africa,,middle ages,books,
LAD 2019.041.012,Dinar of the Reign of Al-Muktafi,,902-903,year range,902,Harran ,Turkey,Asia,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2019.041.013,Dinar of the Reign of Al-Radi,anonymous,937-938,year range,937,Nishapur ,Iran,Asia,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2019.041.014,Dinar of the Reign of Al-Muttaqi,anonymous,940-941,year range,941,"Wasit, ",Iraq,Asia,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2019.041.015,Dinar of the Reign of Al-Muttaqi,anonymous,942 943,year range,942,Cairo,Egypt,Africa,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2019.041.016,Dinar of the Reign of Al-Mustakfi,,949 950,year range,949,Sanaa ,Yemen,Asia,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2019.041.017,Dinar of the Reign of Al-Muti or of Nuh bin Nasr,anonymous,949 950,year range,950,Nishapur ,Iran,Asia,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2022.010,Bust of a Female Deity,anonymous,around 940 960,year range,950,Cambodia,Cambodia,Asia,"Angkor period, Style of Pre Rup",middle ages,sculpture,
LAD 2019.041.018,Dinar of the Reign of Al-Muti or of Rukn al-Dawla,anonymous,970 971,year range,970,Isfahan ,Iran,Asia,Abbasid Dynasty (750-1258),middle ages,numismatic,
LAD 2022.011,Capital,anonymous,970-986,year range,975,"Madinat Al Zahra, Cordoba( probably ) ",Spain,Europe,,middle ages,,
LAD 2020.111,The Four Gospels in Coptic,anonymous,982 Year of the Martyrs,,982,"Wadi El-Natrun, ",Egypt,Africa,,middle ages,books,
LAD 2020.010,Feline-shaped Incense Burner,anonymous,11th century,year range,1000,Eastern Iran or Central Asia,Iran,Asia,,middle ages,furniture,
LAD 2019.041.019,Dinar of the Reign of Al-Qadir or Mahmud ibn Sebuktigin,anonymous,1030,specific year,1030,Nishapur ,Iran,Asia,Abbasid (750-1258) or Ghaznavid Dynasty (977-1186),middle ages,numismatic,
LAD 2019.041.020,Dinar of the Reign of Al-Qa’im or Ala al Dawla Muhd ibn Dushmanzar,,1037 1038,year range,1037,"Kazan (?), ",Russia,Europe,Abbasid (750-1258) or Ghaznavid Dynasty (977-1186),middle ages,numismatic,
LAD 2017.002,Monumental Lion,anonymous,ca. 1000-1200,year range,1100,Spain or Southern Italy,,Europe,,middle ages,sculpture,
LAD 2017.002,Monumental Lion,anonymous,ca. 1000-1200,year range,1100,Spain or Southern Italy,,Europe,,middle ages,sculpture,
LAD 2018.001,Seated Avalokiteshvara (Guanyin),anonymous,ca. 1050 1150,year range,1100,"Shanxi Province, ",China,Asia,Northern Song Dynasty (960-1127) or Jin Dynasty (1115-1234),middle ages,sculpture,
LAD 2019.038.008,Circular Coin of the Reign of Huizong,anonymous,1111-1117,year range,1115,China,China,Asia,"Northern Song Dynasty (960-1127), ",ancient worlds,numismatic,
LAD 2019.038.009,Circular Coin of the Reign of Huizong,anonymous,1119-1125,year range,1122,China,China,Asia,"Northern Song Dynasty (960-1127), ",ancient worlds,numismatic,
LAD 2009.024,"Sho-Kannon, Bodhisattva of Compassion",anonymous,1100 1200,year range,1150,Japan,Japan,Asia,Fujiwara Period (894-1185) or the beginning of the Kamakura Period (1185-1333),middle ages,sculpture,
LAD 2014.032,The Sutra of the Perfection of Wisdom,anonymous,1191,specific year,1191,Eastern India,India,Asia,Pala Dynasty (750-1161),middle ages,,
LAD 2019.004,Book Cover Showing Christ in Majesty,anonymous,1190-1200,year range,1195,Limoges ,France,Europe,,middle ages,books,
LAD 2012.024,Architectural Frieze Carved with Quranic Verses,anonymous,ca. 1200,specific year,1200,"Northern India, Rajasthan (?)",India,Asia,Ghurid Empire (786-1215),middle ages,architecture,
LAD 2012.026,Lion-shaped Aquamanile,,ca. 1200,specific year,1200,Northern Germany,Germany,Europe,,middle ages,furniture,
LAD 2009.025,Reliquary Casket with the Three Magi,anonymous,ca. 1200,specific year,1200,Limoges ,France,Europe,,middle ages,,
LAD 2013.053,Ewer Decorated with the Signs of the Zodiac,anonymous,ca. 1220,specific year,1220,Herat,Afghanistan,Asia,,middle ages,,
LAD 2019.001,"Saphea, an Astronomical Instrument",anonymous,ca. 1224,specific year,1224,"Andalusia (?), ",Spain,Europe,,middle ages,,
LAD 2019.041.025,Bezant of the Latin States of the East,anonymous,1200 1250,year range,1225,Tripoli ,Lebanon,Asia,Latin States of the East (1102-1289),middle ages,numismatic,
LAD 2019.041.024,Bezant of the Latin States of the East,anonymous,1200 1250 ,year range,1225,Tripoli ,Lebanon,Asia,Latin States of the East (1102-1289),middle ages,numismatic,
LAD 2019.041.026,Bezant of the Latin States of the East,anonymous,1200-1250,year range,1225,Tripoli ,Lebanon,Asia,Latin States of the East (1102-1289),middle ages,numismatic,
LAD 2020.119,A Cameo with the Ascension of the Prophet Elijah to Heaven,anonymous,ca. 1220-1240,year range,1230,"Southern Italian Peninsula, probably Palermo, Sicily",Italy,Europe,,middle ages,,
LAD 2013.005,"Joseph of ArimatheaAttributed to the “Descent from the Cross” Workshop, Tivoli",anonymous,1230-1240,year range,1235,Central Italy,Italy,Europe,,middle ages,,
LAD 2011.031,Ancestor Figure,Djennenke or Soninke culture,1200-1300,year range,1250,Djennenke or Soninke culture ,Mali,Africa,,middle ages,sculpture,
LAD 2010.011,Lusterware Bowl Decorated with Birds,anonymous,"1200, Late 12th century-",year range,1250,Kashan,Iran,Asia,"Seljuk Empire, 1037-1308)",middle ages,,
LAD 2010.009,Ewer with Epigraphic Decoration,anonymous,"1200, Late 12th century, ",year range,1250,Kashan,Iran,Asia,"Seljuk Empire, 1037-1308)",middle ages,,
LAD 2019.041.021,Dirham of the Latin States of the East,,1252,specific year,1252,Jerusalem,Israel,Asia,Latin States of the East (1099-1291),middle ages,numismatic,
LAD 2013.051,Paris Bible in two volumes,anonymous,ca. 1250-1280,year range,1265,Paris,France,Europe,,middle ages,books,
LAD 2019.006,"Book of Hours: ""The Hours of Marie""",anonymous,ca. 1270-1280,year range,1275,Reims ,France,Europe,,middle ages,books,
LAD 2023.003,Candlestick,anonymous,"ca. 1275, ",specific year,1275,"Probably Mosul,",Iraq,Asia,Abbasid Dynasty (750-1258),middle ages,furniture,
LAD 2009.011,"Juz’ Amma, 30th Section of the Holy Quran",anonymous,1250 1300,,1275,Damascus (?),Syria,Asia,Mamluk Dynasty (1250-1517) CE,middle ages,,
LAD 2012.025,Emblazoned Gemellion,,ca. 1250-1300,year range,1275,Limoges,France,Europe,,middle ages,,
LAD 2020.113,Royal Artuqid Miscellany,anonymous,1286 CE,specific year,1286,Mardin ,Turkey,Asia,,middle ages,,
LAD 2019.042.001,"Gold Ducat of Giovanni Dandolo, Doge of Venice",,1284-1289,year range,1287,Venice ,Italy,Europe,Republic of Venice (697-1797),middle ages,numismatic,
LAD 2016.002,"“De Materia Medica”, a Pharmacopeia of Plants",Dioscoride (40 -90 ),beginning of 13th century,year range,1300,Baghdad ,Iraq,Asia,,middle ages,books,
LAD 2011.030,Sculpted Basin with the Name of BonifiliusBonifilius,anonymous,ca. 1300,specific year,1300,Northern Italy,Italy,Europe,,middle ages,numismatic,
LAD 2019.036,Astrolabe Quadrant and Case,anonymous,ca. 1291-1310,year range,1300,Southern France (?),France ,Europe,,middle ages,,
LAD 2020.123,"Rustam Kicks Aside a Boulder, from the Freer Shahnama (recto)",anonymous,"1300-1340,",year range,1320,Ilkhanid Iran or Iraq,Iraq,Asia,Ilkhanid Iran or Iraq (1256-1335),middle ages,,
LAD 2014.010,Virgin and ChildFrancesco Traini,anonymous,ca. 1325,specific year,1325,Italy,Italy,Europe,,middle ages,,
LAD 2019.042.008,"Gold Parisis of the Reign of Philippe VI, King of France",anonymous,1329,specific year,1329,France,France,Europe,Kingdom of France (987-1792),middle ages,numismatic,
LAD 2020.116,Kitab Al‐Masalik wa Al‐Mamalik - An Illustrated Description of the WorldAl‐Istakhri,anonymous,November 1331,specific year,1331,Iran,Iraq,Asia,,middle ages,books,
LAD 2012.004,Virgin and Child,anonymous,1320 1330,year range,1335,Paris,France,Europe,,middle ages,,
LAD 2020.117,A Mamluk Carved Ivory Calligraphic Plaque,anonymous,ca. 1334-1339,year range,1337,Egypt,Egypt,Africa,,middle ages,,
LAD 2019.042.009,Gold Crown of Philippe VI,anonymous,1340,specific year,1340,France,France,Europe,Kingdom of France (987-1792),middle ages,numismatic,
LAD 2013.052,Mirror Case: Hunting with a Falcon,anonymous,ca. 1330-1350,year range,1340,Paris,France,Europe,,middle ages,,
LAD 2018.004,Albarello with Coat of Arms Decoration,anonymous,ca. 1300-1400,year range,1350,Syria or Egypt,various,various,,middle ages,,
LAD 2019.042.007,"Franc à Pied of the Reign of Charles V, King of France",anonymous,1365-1380,year range,1370,France,France,Europe,Kingdom of France (987-1792),middle ages,numismatic,
LAD 2019.028,Astrolabe in the Name of Berselius,anonymous,ca. 1375,specific year,1375,Picardy,France,Europe,,middle ages,,
LAD 2014.007,The Sutra of Perfect Enlightenment,anonymous,ca. 1350 1400,year range,1375,China,China,Asia,Yuan Dynasty (1279-1368),middle ages,,
LAD 2019.042.004,"Genovino of Leonardo Montalto, Doge of Genoa",anonymous,"1383-1384,",year range,1383,Genoa ,Italy,Europe,Republic of Genoa (1099-1797),middle ages,numismatic,
LAD 2018.005,Conical Helmet,,1350-1450,year range,1400,Mongolia or China,,Asia,,middle ages,metallic,
LAD 2022.003,Blue and white porcelain dish,anonymous,Yongle period (1403-1425),year range,1415,Jingdezhen kilns,China,Asia,Yongle period (1403-1425),middle ages,,
LAD 2020.124,"Bahram Gur Wins the Iranian Crown, from a Replacement Volume by Hafiz-i Abru to Rashid al-Din’s Jami‘ al-Tawarikh (recto)",anonymous,1425-1430,year range,1428,Herat,Afghanistan,Asia,Timurid Dynasty (1370-1507),middle ages,books,
LAD 2021.002,The DecadesTitus Livius (59 BCE-17 CE),anonymous,1440,specific year,1440,Metz ,France,Europe,,middle ages,,
LAD 2021.018,"Front Panel of a Cassone: Three Episodes from Boccaccio's ""Teseida""Master of Charles III",anonymous,ca. 1440,specific year,1440,Marches,Italy,Europe,,middle ages,,
LAD 2019.042.005,"Genovino of Ludovico di Campofregoso, Doge of Genoa",anonymous,"1447-1450,",year range,1448,Genoa ,Italy,Europe,Republic of Genoa (1099-1797),middle ages,numismatic,
LAD 2015.013,"Roman de la Rose (Romance of the Rose, a Work of Courtly Literature)",Guillaume de Loris,ca. 1430-1470,year range,1450,France,France,Europe,,middle ages,books,
LAD 2020.125.001,One of Two Folios from a Timurid Muraqqa',anonymous,ca. 1450,year range,1450,Iran,Iran,Asia,Timurid Dynasty (1370-1507),middle ages,,
LAD 2020.125.002,One of Two Folios from a Timurid Muraqqa',anonymous,ca. 1450,year range,1450,Iran,Iran,Asia,Timurid Dynasty (1370-1507),middle ages,,
LAD 2019.005,Romance of Troy,Master of Girart de Roussillon and His Workshop,1450-1460,year range,1455,Southern Netherlands or Brussels (?),Netherlands,Europe,,early modern,,
LAD 2023.008,Hispano-Moresque Charger with Armorial Shields,anonymous,  1456-1461,year range,1459,"probably Manises, Valencia",Spain,Europe,,early modern,,
LAD 2021.001,Basin Decorated with the Heraldic Shield of an Eagle,anonymous, 1450-1470,year range,1460,"Manises, ",Spain,Europe,,middle ages,,
LAD 2014.031,"Dictes and Sayings of the Philosophers, Al Mubashshir ibn Fatik ",Guillaume de Tignonville (?-1414),ca. 1460,specific year,1460,France,France,Europe,,early modern,,
LAD 2015.014,Book of Hours Willem Vrelant,,ca. 1450-1475,year range,1462,"Bruges, ",Belgium,Europe,,middle ages,,
LAD 2014.030,"De Consolatione Philosophiae, Ancient Philosophical Text",Boethius (480-524),ca. 1460-1470,year range,1465,"Bruges (?), Flanders, ",Belgium,Europe,,early modern,books,
LAD 2019.031.001,Calligraphic panel with Quranic verses. One of a Pair,anonymous, mid-14th century-15th century,year range,1475,Iran or Central Asia,,Asia,Timurid Period (1370-1507) ,middle ages,books,
LAD 2019.031.002,Calligraphic panel with Quranic verses. One of a Pair,anonymous,mid-14th century-15th century,year range,1475,Iran or Central Asia,,Asia,Timurid Period (1370-1507) ,middle ages,books,
LAD 2019.042.006,"Genovino of Prospero Adorno, Doge of Genoa",anonymous,"1478, ",specific year,1478,Genoa ,Italy,Europe,Republic of Genoa (1099-1797),middle ages,numismatic,
LAD 2016.005,Medallion Carpet,,ca. 1480,specific year,1480,"Ushak, Turkey",Turkey,Asia,Ottoman Empire (1299-1922),early modern,textile,
LAD 2009.013,Virgin and Child,Giovanni Bellini (1430-1516),between 1480 1485,year range,1483,Venice ,Italy,Europe,Republic of Venice (697-1797),early modern,,
LAD 2021.003,"Treatises on the properties of precious stones and palmistry. Followed by ""Ex divina philosophorum achademia secundum nature vires ad extra chyromanticie diligentissime collectum""",Jean d'Outremeuse,1484,specific year,1484,"Ghent/Brussels, Flanders",Belgium,Europe,,middle ages,books,
LAD 2019.010,"Voyage Around the World, Travelogue (in German)",John Mandeville,1488,specific year,1488,"Strasbourg, France",France,Europe,,middle ages,books,
LAD 2014.034,"St Peter of Verona, Christian Martyr",Andrea della Robbia (1435-1525),ca. 1490,specific year,1490,Florence,Italy,Europe,,early modern,,
LAD 2019.011,Account of a Pilgrimage to the Holy Land in 1480,Pierre Barbatre (1425-?),ca. 1490 -1500,,1495,France,France,Europe,,early modern,books,
LAD 2010.008,Pentateuch and its binding,anonymous,1498,specific year,1498,Sanaa ,Yemen,Asia,,middle ages,books,
LAD 2010.006,Diptych with Scenes from the Life of Christ,anonymous,14th,year range,1500,France or Rhineland (?),,Europe,,middle ages,numismatic,
LAD 2009.005,Ewer Basin with Saint Barbara in the Central Medallion,anonymous,ca. 1500,specific year,1500,"Venice, Italy / Limoges, France",France,Europe,,early modern,,
LAD 2014.029,"Chaldean History, Chronicle of the Kings of Babylon",Berosus,ca. 1505,specific year,1505,Paris,France,Europe,,early modern,books,
LAD 2019.042.010,"Sovereign of Henry VII, King of England",anonymous,1504-1509,year range,1507,London,United Kingdom,Europe,,middle ages,,
